"Inter_ID","fitted_a","scale_adjust_factor","scaled_a","fitted_h","fitted_w","FoRAGE_ID","Dim","Num_Pred","Pred_or_Para","Habitat","Pred_Vert_Invert","Pred_group_1","Pred_mass","Pred_mass_ID","Prey_Vert_Invert","Prey_group_1","Prey_mass","Prey_mass_ID","X2D_Arena_size","X3D_Arena_size","X2.5D_Arena_size","Arena_size_general","PreyAbundanceGroup","PredAbundanceGroup","PreyMass_g","PredMass_g","PreyAbundance_50","PredAbundance_50","C_R_5","C_R_25","C_R_50","C_R_75","C_R_95","wC_ahR_5","wC_ahR_25","wC_ahR_50","wC_ahR_75","wC_ahR_95"
1,1.65635760663617,244.049241655093,404.232817809201,0.11905660965255,171.629822877538,1700,2.5,1,"Parasitoid","Terrestrial","Invertebrate","Insect",0.125,NA,"Invertebrate","Insect",0.625,1,NA,157,67.5952808785752,67.5952808785752,"invertebrate","invertebrate",0.000625,0.000125,517.653229621864,1320.53447011465,0.00772697062127344,0.247127031918023,2.75591076631394,27.3199868558408,889.527907631698,0.0275035652461595,0.87252881479437,9.84614028439268,97.6734768828399,3137.69691478341
2,0.402026996709254,1813.88171708594,729.229419105887,0.010639190823993,436.793800234321,140,2,1,"Predator","Aquatic","Invertebrate","Insect",3.65,2,"Invertebrate","Insect",0.12,1,322,NA,NA,322,"invertebrate","invertebrate",0.00012,0.00365,1333.45420623355,174.355083384339,0.000437687852720499,0.0119776165583875,0.128649784175419,1.33949391835291,39.7213960355747,0.024118719853475,0.662263255597397,7.28004840316252,77.0463419319435,2289.94549836098
3,0.435393083995932,160,69.6628934393491,0.0515494453258247,12.161092972053,3204,3,1,"Predator","Aquatic","Invertebrate","Crustacean",0.234,3,"Invertebrate","Insect",0.207,14,NA,20,NA,20,"invertebrate","invertebrate",0.000207,0.000234,1008.93578704444,921.267931390636,0.00269912319421688,0.0829414384489411,0.905319592567566,9.7673285876399,303.000834050662,0.00826178896473848,0.254631459971573,2.86918373791953,30.8636603669424,966.998046323511
4,0.774559040289611,106.8,82.7229055029304,0.251048037481229,64.7777745778203,2355,3,1,"Predator","Aquatic","Invertebrate","Crustacean",3.87,1,"Invertebrate","Crustacean",0.353,16,NA,40,NA,40,"invertebrate","invertebrate",0.000353,0.00387,751.035576936944,166.858598510271,0.000692867957272897,0.0211654704918476,0.232422813267619,2.39664500755368,76.8608106377668,0.00191481118013072,0.0608424036694353,0.666239299663931,6.95426222356622,232.511905353872
5,0.51850153737737,213.6,110.751928383806,0.269702422259162,75.7817592044431,2356,3,1,"Predator","Aquatic","Invertebrate","Crustacean",3.87,1,"Invertebrate","Crustacean",0.353,16,NA,80,NA,80,"invertebrate","invertebrate",0.000353,0.00387,727.587599146803,163.840182295052,0.000676831981382984,0.0205953405419348,0.232205768786956,2.3875919538218,73.2109238083423,0.00141571564046047,0.0461822370937802,0.516017218714151,5.50166898850092,164.535137165473
6,0.154898165270526,1900.23752969121,294.343306927365,0.00369040249529942,234.571701160026,3187,3,1,"Predator","Aquatic","Invertebrate","Crustacean",52,10,"Invertebrate","Insect",0.02,10,NA,950,NA,950,"invertebrate","invertebrate",2e-05,0.052,3947.14021963637,33.9058476127847,2.51459774484484e-05,0.00077075067865034,0.00890659956283223,0.0996494377320134,2.99539858908622,0.00339756059407611,0.15912032286981,2.24748353149614,30.443411166506,1239.62759064119
7,0.207272889738675,1904.7619047619,394.805504264143,0.0204601994713963,510.807606622286,3188,3,1,"Predator","Aquatic","Invertebrate","Crustacean",52,10,"Invertebrate","Insect",0.12,11,NA,950,NA,950,"invertebrate","invertebrate",0.00012,0.052,1434.2493646248,35.8975617507665,8.10790294723721e-05,0.00233573003460674,0.024567028252121,0.269723066677776,7.78676898416957,0.00393469477774415,0.141438909340352,1.72869891615327,21.9856772569107,826.569834608402
8,0.204934833962594,1904.7619047619,390.352064690655,0.0184976580629891,352.490206251341,3189,3,1,"Predator","Aquatic","Invertebrate","Crustacean",52,10,"Invertebrate","Insect",1.4,12,NA,950,NA,950,"invertebrate","invertebrate",0.0014,0.052,314.939225084053,34.2396123995958,0.000326601758059428,0.00983200185387357,0.110250932486722,1.23260859907491,37.4213619263481,0.0101259861699462,0.385220574315129,4.79818626014731,61.8009135376828,2329.63888155875
9,0.201594100908037,1904.7619047619,383.988763634356,0.0389496071889696,504.717877876842,3190,3,1,"Predator","Aquatic","Invertebrate","Crustacean",52,10,"Invertebrate","Insect",4.8,13,NA,950,NA,950,"invertebrate","invertebrate",0.0048,0.052,146.865260499722,36.3764281680258,0.000802569997891101,0.0226755743483229,0.241076347548544,2.56399557779164,79.2717262437126,0.0157873516142871,0.565417628834321,6.67434330857136,77.7767247961366,2735.63222738774
10,1.93342471415171,10.7171950921681,20.7208898575833,0.0476235479377864,19.6596613622915,2235,2,5,"Predator","Terrestrial","Invertebrate","Insect",3.6,NA,"Invertebrate","Insect",0.138,1,28.3,NA,NA,28.3,"invertebrate","invertebrate",0.000138,0.0036,1251.95520302911,169.449547578033,0.000406242388043511,0.011706428532306,0.13258799365595,1.50063213374225,44.1661834983734,0.00818710257981137,0.239939526667075,2.68211275617624,30.6684203878518,880.04489424799
